KBA-Referenznummer;Rckrufcode des Herstellers;Verffentlichungsdatum;Marke;Modell;Mangelbezeichnung;Produktionszeitraum von;Produktionszeitraum bis;Rckrufseite des Herstellers;Mangelbeschreibung;Titel der Manahme;Beschreibung der Manahme;Mgliche Eingrenzung der betroffenen Modelle;Bekannte Vorflle mit Sach- und/oder Personenschden;Anzahl potentiell betroffene Fahrzeugteile weltweit;Anzahl potentiell betroffene Fahrzeugteile
2075;0AXE;39490;RENAULT;TRAFIC;Die hinter dem Windabweiser des Kühlers verlaufende Klimaleitung kann am Windabweiser durchscheuern, wodurch das Klimakältemittel frei gesetzt wird und die Klimaanlage ausfällt. Betroffen sind Fahrzeuge mit Motor 2.0 dCi.;2006;2007;N/A;Die hinter dem Windabweiser des Kühlers verlaufende Klimaleitung kann am Windabweiser durchscheuern, wodurch das Klimakältemittel frei gesetzt wird und die Klimaanlage ausfällt. Betroffen sind Fahrzeuge mit Motor 2.0 dCi.;;;N/A;N/A;N/A;5827
2000;4;39448;MASERATI;CILINDRI, GHIBLI, QUATTROPORTE;Möglicher Kraftstoffverlust an den Kraftstoffleitungen im Motorraum;1995;1997;N/A;Möglicher Kraftstoffverlust an den Kraftstoffleitungen im Motorraum;;;N/A;N/A;N/A;110
2084;HUGK;39563;SUZUKI;SX4;Unzureichende Befestigung des Katalysator-Monolithen;2006;2007;N/A;Aufgrund unzureichender Befestigung des Katalysator-Monolithen kann es dazu kommen, dass sich der Monolith innerhalb des mittleren Abgasrohres löst. Ein Lösen des Katalysatorkörpers kann zu Klappergeräuschen und einem Anstieg der Abgaswerte führen. Es sind Fahrzeuge mit 1,5l - und 1,6 l - Benzinmotor betroffen.;;;N/A;N/A;N/A;2778
1976;OSB07-2E-056;39448;CHEVROLET;CAPTIVA;Nicht der Spezifikation entsprechende Stahlfelgen können sich vom Fahrzeug lösen.;2006;2007;N/A;Nicht der Spezifikation entsprechende Stahlfelgen können sich vom Fahrzeug lösen.;;;N/A;N/A;N/A;3605
2027;5260;39448;FIAT;GRANDE PUNTO, MULTIPLA, PANDA, STILO, BRAVO, SEICENTO, 500;Die unzureichende Vulkanisation des Bremsschlauches kann bei Temperaturänderung der Bremsflüssigkeit zu gefährlichem Bremsverhalten führen.;2007;2007;N/A;Die unzureichende Vulkanisation des Bremsschlauches kann bei Temperaturänderung der Bremsflüssigkeit zu gefährlichem Bremsverhalten führen.;;;N/A;N/A;N/A;4904
2028;5261;39559;LANCIA;YPSILON;Die unzureichende Vulkanisation des Bremsschlauches kann bei Temperaturveränderung der Bremsflüssigkeit zu gefährlichem Bremsverhalten führen.;2007;2007;N/A;Die unzureichende Vulkanisation des Bremsschlauches kann bei Temperaturveränderung der Bremsflüssigkeit zu gefährlichem Bremsverhalten führen.;;;N/A;N/A;N/A;140
2067;0AYC;39559;RENAULT;MEGANE;Durch das Fehlen von Befestigungsösen können Kindersitze mittels der ISOFIX-Befestigung nicht im Fahrzeug befestigt werden.;2007;2007;N/A;Durch das Fehlen von Befestigungsösen können Kindersitze mittels der ISOFIX-Befestigung nicht im Fahrzeug befestigt werden.;;;N/A;N/A;N/A;414
2102;5FX;39559;HONDA;CIVIC;Nicht richtig abgedichtete Radnabe führt zum Eindringen von Wasser und Streusalz, zur Korrosion der Radlager und zum möglichen Verlust des Rades.;2006;2007;N/A;Nicht richtig abgedichtete Radnabe führt zum Eindringen von Wasser und Streusalz, zur Korrosion der Radlager und zum möglichen Verlust des Rades.;;;N/A;N/A;N/A;12
1619;0ARG;39448;RENAULT;MEGANE, CLIO;Fehlprogrammierung des Steuergerätes des Automatikgetriebes kann zum Ausfall der Schaltvorgänge führen.;2005;2006;N/A;Fehlprogrammierung des Steuergerätes des Automatikgetriebes kann zum Ausfall der Schaltvorgänge führen.;;;N/A;N/A;N/A;125
2009;R0711;39448;NISSAN;CABSTAR;Kurbelwellensensor kann durch das Lüfterrad beschädigt werden. Dies kann zum Stillstand des Motors führen.;2006;2007;N/A;Kurbelwellensensor kann durch das Lüfterrad beschädigt werden. Dies kann zum Stillstand des Motors führen.;;;N/A;N/A;N/A;22
1949;R0706;39448;NISSAN;PATHFINDER;Korrosion am Kraftstoffeinfüllstutzen kann zum Verlust von Kraftstoff während des Betankens führen.;1997;2003;N/A;Korrosion am Kraftstoffeinfüllstutzen kann zum Verlust von Kraftstoff während des Betankens führen.;;;N/A;N/A;N/A;4199
1966;5219, 5223;39448;FIAT;DUCATO;Die Lenkung kann wegen unzureichender Schmierung schwergängig werden. Weiterhin muss eine Abdeckung des Scheibenwischermotors erfolgen, um einen frühzeitigen Ausfall zu vermeiden. Betroffen sind nur Modelle Ducato 250.;2006;2007;N/A;Die Lenkung kann wegen unzureichender Schmierung schwergängig werden. Weiterhin muss eine Abdeckung des Scheibenwischermotors erfolgen, um einen frühzeitigen Ausfall zu vermeiden. Betroffen sind nur Modelle Ducato 250.;;;N/A;N/A;N/A;40870
2157;3DS;39559;HONDA MOTORRAD;PES150, PES125, SH125, SH150;Fertigungsfehlers bei den Kabelklemmungen der Lichtmaschinenphasen;2005;2007;N/A;Aufgrund eines Fertigungsfehlers kann es bei den Kabelklemmungen der Lichtmaschinenphasen zum Eindringen von Versiegelungsflüssigkeit bzw. zur Korrosion kommen. Durch den Kontaktverlust wird die Batterie nicht mehr geladen, dies kann zum Absterben des Motors führen. In seltenen Fällen kann durch den Funkenflug der Steckverbinder in Brand geraten.;;;N/A;N/A;N/A;5590
2161;HBZYL;39573;MERCEDES-BENZ;SPRINTER;Einbau eines falschen Hauptbremszylinders und/oder Bremsflüssigkeitsausgleichsbehälters kann zu einem verlängerten Pedalweg beim Bremsen und/oder zu einem verfrühten Aufleuchten der Bremsflüssigkeitskontrollleuchte führen.;2006;2008;N/A;Einbau eines falschen Hauptbremszylinders und/oder Bremsflüssigkeitsausgleichsbehälters kann zu einem verlängerten Pedalweg beim Bremsen und/oder zu einem verfrühten Aufleuchten der Bremsflüssigkeitskontrollleuchte führen.;;;N/A;N/A;N/A;42
4580;N/A;41800;PONTIAC;SOLSTICE, G5, PURSUIT;Fehler im Zündschloss führt zu Motorausfall, Ausfall von elektrischen Komponenten und Airbags.;2005;2010;N/A;Fehler im Zündschloss führt zu Motorausfall, Ausfall von elektrischen Komponenten und Airbags.;N/A;Austausch des Zündschalters, Schließzylinders und der Zündschlüssel;N/A;N/A;N/A;0
2877;HILFSRAHMEN;40359;KIA;MAGENTIS;Durchrosten des Hilfsrahmens kann zum Wegbrechen des Vorderrades führen.;2000;2003;N/A;Durchrosten des Hilfsrahmens kann zum Wegbrechen des Vorderrades führen.;N/A;Erneuerung des Korrosionsschutzes und ggf. Austausch des Hilfsrahmens.;N/A;N/A;9453;3493
2215;08-C-024;39804;OPEL;AGILA;Beim Fehlen der Sollbruchstelle für den Austritt des Beifahrerairbags in der Abdeckung der Armaturentafel kann es zu einer Nichtentfaltung des Airbags und zu einer verminderten Schutzwirkung kommen.;2007;2008;N/A;Beim Fehlen der Sollbruchstelle für den Austritt des Beifahrerairbags in der Abdeckung der Armaturentafel kann es zu einer Nichtentfaltung des Airbags und zu einer verminderten Schutzwirkung kommen.;;;N/A;N/A;N/A;2034
2223;08-C-009;39618;OPEL;GT;Dichtung der Antriebswelle des Hinterachsgetriebes kann undicht werden und nach vollständigem Ölverlust zum Blockieren der Antriebsräder führen.;2007;2007;N/A;Dichtung der Antriebswelle des Hinterachsgetriebes kann undicht werden und nach vollständigem Ölverlust zum Blockieren der Antriebsräder führen.;;;N/A;N/A;N/A;1282
2231;PG8A1;39629;NISSAN;QASHQAI;Die Tankmoduldichtung kann durch einen Fertigungsfehler beschädigt sein. Kraftstoff kann austreten.;2006;2007;N/A;Die Tankmoduldichtung kann durch einen Fertigungsfehler beschädigt sein. Kraftstoff kann austreten.;;;N/A;N/A;N/A;4245
2160;N/A;39587;PEUGEOT;4007;Bei sehr sportlichem Fahrverhalten und sehr schnellem Verlassen des Gaspedals kann der Motor ausgehen.;2007;2008;N/A;Das Motorsteuergerät muss neu programmiert werden. Bei sehr sportlichem Fahrverhalten und sehr schnellem Verlassen des Gaspedals kann der Motor ausgehen. Dies wird durch die Diagnoseleuchte angezeigt und der Motor lässt sich nach dem Anhalten wieder starten.;;;N/A;N/A;N/A;1197
2149;5LR;39552;HONDA;LEGEND;Undichtigkeit des Förderschlauchs der Servolenkungsflüssigkeit;2007;2008;N/A;Mögliche Undichtigkeit des Förderschlauchs der Servolenkungsflüssigkeit durch zu starke Hitze, wodurch Servolenkungsflüssigkeit auf den Auspuffkrümmer tropfen kann. Mögliche Folge ist eine Rauchentwicklung im Motorraum, die im ungünstigsten Fall zu einem Brand führen kann.;;;N/A;N/A;N/A;542
2195;N/A;39590;BENTLEY;CONTINENTAL GT, CONTINENTAL GT SPEED, CONTINENTAL GTC, CONTINENTAL FLYING SPUR;Die äußere Oberfläche des Kraftstofffilters korrodiert durch Streusalzeinwirkung. In Extremfällen kann des Filtergehäuse durchlässig werden, was zu einem Kraftstoffleck führen kann. Ein solches Leck birgt ein Brandrisiko.;2003;2008;N/A;Die äußere Oberfläche des Kraftstofffilters korrodiert durch Streusalzeinwirkung. In Extremfällen kann des Filtergehäuse durchlässig werden, was zu einem Kraftstoffleck führen kann. Ein solches Leck birgt ein Brandrisiko.;;;N/A;N/A;N/A;1739
3491;201102;40815;SUBARU;LEGACY, OUTBACK;Bei erhöhter Belastung der Wischerarme durch Eis und Schnee kann es zu Funkenbildung im Wischermotor und zum Verschmoren des Kunststoffdeckels kommen.;2010;2011;N/A;Bei erhöhter Belastung der Wischerarme durch Eis und Schnee kann es zu Funkenbildung im Wischermotor und zum Verschmoren des Kunststoffdeckels kommen.;N/A;Austausch des Kunststoffgehäuse-Deckels.;N/A;N/A;282935;1172
4301;J034;41544;JAGUAR;XF, XJ;Schlauch zwischen Motor und Ladeluftkühler kann sich lösen und zu Leistungsverlust führen.;2012;2013;N/A;Schlauch zwischen Motor und Ladeluftkühler kann sich lösen und zu Leistungsverlust führen.;N/A;Die Position der Schelle am Ladeluftkühler-Schlauch prüfen. Die Schelle ggf. neu positionieren und festziehen.;N/A;N/A;4143;4
2281;N/A;39643;PEUGEOT;EXPERT, 607, 807;Größerer Kraftaufwand beim Bremsen durch Ausfall der Unterdruckpumpe zur Bremskraftverstärkung.;2005;2007;N/A;Größerer Kraftaufwand beim Bremsen durch Ausfall der Unterdruckpumpe zur Bremskraftverstärkung.;;;N/A;N/A;N/A;1642
2465;DAB800A;39862;KAWASAKI;1400GTR;Von der Fahrbahn hochgewirbelte Kleinteile können zwischen Hauptbremszylinder und Kolbenstange festklemmen. Dies kann zur Dauerbremsung und Überhitzung an der Hinterradbremse führen. Die Bremse kann blockieren.;2008;2009;N/A;Von der Fahrbahn hochgewirbelte Kleinteile können zwischen Hauptbremszylinder und Kolbenstange festklemmen. Dies kann zur Dauerbremsung und Überhitzung an der Hinterradbremse führen. Die Bremse kann blockieren.;;;N/A;N/A;N/A;972
6116;R69;42517;DODGE;RAM;Nicht der Spezifikation entsprechender Katalysator kann zum Überschreiten der Abgaswerte führen.;2013;2014;N/A;Nicht der Spezifikation entsprechender Katalysator kann zum Überschreiten der Abgaswerte führen.;N/A;Der SCR-Katalysator muss ausgetauscht werden.;Fahrzeuganzahl inklusive Dodge-Fahrzeuge zum gleichen Rückruf.;N/A;15052;38
6479;60C5;42660;SEAT;MII;Frontblende des Panoramadachs kann sich aufgrund mangelhafter Verklebung lösen und in den Verkehrsraum fallen.;2016;2016;N/A;Frontblende des Panoramadachs kann sich aufgrund mangelhafter Verklebung lösen und in den Verkehrsraum fallen.;;;N/A;N/A;15;9
4227;SB501;41439;TRIUMPH;STREET TRIPLE;Schrauben der Seilzugführung am Lenkkopf können sich lösen und zum Blockieren der Lenkung führen.;2012;2013;N/A;Schrauben der Seilzugführung am Lenkkopf können sich lösen und zum Blockieren der Lenkung führen.;N/A;Bei den betroffenen Fahrzeugen werden die Schrauben ausgetauscht.;STREET TRIPLE, STREET TRIPLE R, STREET TRIPLE 70KW;N/A;8994;1418
4850;N/A;41901;MBK;YN50F;Motorhalterung kann brechen und zum Verlust der Fahrstabilität führen.;2010;2014;N/A;Motorhalterung kann brechen und zum Verlust der Fahrstabilität führen.;N/A;Bei den betroffenen Fahrzeugen wird die Motorhalterung durch eine modifizierte Version ausgetauscht.;N/A;N/A;N/A;0
4906;14171;41960;CADILLAC;ATS;Fehlfunktion der Gurtstraffer der Vordersitze.;2012;2013;N/A;Fehlfunktion der Gurtstraffer der Vordersitze.;N/A;Die beiden vorderen äußeren Beckengurtstraffer werden ersetzt.;N/A;N/A;53299;20
5059;ZVZ;42209;PEUGEOT;2008;Unzureichende Grundeinstellung der Handbremse führt zum Rollen des Fahrzeuges.;2012;2014;N/A;Unzureichende Grundeinstellung der Handbremse führt zum Rollen des Fahrzeuges.;N/A;Prüfung der Funktion und Einstellung der Feststellbremse und des Betätigungshebels. Bei Bedarf werden diese eingestellt.;N/A;N/A;15059;7431
2980;0C323;40373;FORD;KA;Aufgrund eines nicht korrekt gefertigten Verbindungsgelenks kann sich die Lenkwelle lösen und zum Verlust der Lenkfähigkeit führen.;2009;2009;N/A;Aufgrund eines nicht korrekt gefertigten Verbindungsgelenks kann sich die Lenkwelle lösen und zum Verlust der Lenkfähigkeit führen.;N/A;Überprüfung des unteren Kreuzgelenks der Lenksäule.;N/A;N/A;456;172
3496;5563;40816;LANCIA;PHEDRA;Die Verkabelung für die Servolenkung kann beschädigt werden und zum Ausfall der Lenkunterstützung führen.;2010;2010;N/A;Die Verkabelung für die Servolenkung kann beschädigt werden und zum Ausfall der Lenkunterstützung führen.;N/A;Prüfung und Instandsetzung des Kabels.;N/A;N/A;1389;31
3360;J018;40730;JAGUAR;XF, XK;Der Schlauch der Servolenkung kann vorzeitig korrodieren und dadurch Geräusche und eine Leckage hervorrufen.;2010;2011;N/A;Der Schlauch der Servolenkung kann vorzeitig korrodieren und dadurch Geräusche und eine Leckage hervorrufen.;N/A;Überprüfung und ggf. erneuern der Servolenkungsleitung.;N/A;N/A;N/A;310
3796;AC04;41675;PORSCHE;CAYENNE, PANAMERA;Fehlerhafte Abgasturbolader können zu verminderter Motorleistung und Austritt von Motoröl führen.;2010;2012;N/A;Fehlerhafte Abgasturbolader können zu verminderter Motorleistung und Austritt von Motoröl führen.;N/A;Austausch des Abgasturboladers.;N/A;N/A;156;18
5441;2790643;42228;SMART;FORTWO;Trotz eingelegtem P am Wählhebel könnte sich das Fahrzeug ungewollt in Bewegung setzen.;2015;2015;N/A;Trotz eingelegtem P am Wählhebel könnte sich das Fahrzeug ungewollt in Bewegung setzen.;N/A;Der Halter für den Parksperrenzug des Doppelkupplungsgetriebes wird geprüft und ggf. erneuert.;N/A;N/A;4212;2710
4553;0000611200;41703;BMW MOTORRAD;F800GS ADVENTURE, R1200R, F700GS, F800GS, F800GT, R1200GS, C600 SPORT, C650GT;Wassereintritt in den Seitenständerschalter kann zu dessen Ausfall und i.d. Folge zu Motorausfall führen.;2012;2013;N/A;Wassereintritt in den Seitenständerschalter kann zu dessen Ausfall und i.d. Folge zu Motorausfall führen.;N/A;Der Seitenstützenschalter wird erneuert.;N/A;N/A;33488;5370
4790;N/A;41859;BMW;X3;Stahlhalterung der Signalanlage kann korrodieren und in der Folge in den Verkehrsraum fallen.;2007;2010;N/A;Stahlhalterung der Signalanlage kann korrodieren und in der Folge in den Verkehrsraum fallen.;N/A;An den betroffen Fahrzeugen soll die Stahlhalterung der Signalanlage durch eine Edelstahlhalterung ersetzt werden.;N/A;N/A;13;13
5360;P065;42436;LAND ROVER;DISCOVERY;Fehlerhafte Verklebung des Glasdaches kann dazu führen, dass sich das Glasdach trennt und in den Verkehrsraum fällt.;2012;2013;N/A;Fehlerhafte Verklebung des Glasdaches kann dazu führen, dass sich das Glasdach trennt und in den Verkehrsraum fällt.;N/A;Das Panoramadach wird entfernt und mit einem neuen ausgetauscht.;N/A;N/A;3662;124
5361;P068;42237;LAND ROVER;RANGE ROVER SPORT, RANGE ROVER;Fahrzeugtür kann sich während der Fahrt öffnen.;2013;2015;N/A;Fahrzeugtür kann sich während der Fahrt öffnen.;N/A;Software-Update.;N/A;N/A;231036;6595
3474;196;40798;MASERATI;GRANTURISMO, QUATTROPORTE;Hintere Spurstange kann brechen und zum Kontrollverlust über das Fahrzeug führen.;2008;2009;N/A;Hintere Spurstange kann brechen und zum Kontrollverlust über das Fahrzeug führen.;N/A;Austausch hintere Spurstange.;N/A;N/A;2155;134
5565;N/A;42292;BUERSTNER;VISEO;Heckspoiler kann sich während der Fahrt lösen und den Folgeverkehr gefährden.;2015;2015;N/A;Heckspoiler kann sich während der Fahrt lösen und den Folgeverkehr gefährden.;N/A;Der Heckspoiler wird überprüft und ggf. ordnungsgemäß instandgesetzt.;N/A;N/A;N/A;37
5570;AF050A;42633;MAZDA;MX-6, MX-3, 121, 626, DEMIO, 929, MPV, 323;Brandgefahr durch einen nicht der Spezifikation entsprechenden Zündanlassschalter.;1989;2002;N/A;Brandgefahr durch einen nicht der Spezifikation entsprechenden Zündanlassschalter.;N/A;Austausch Zündanlassschalter.;N/A;N/A;N/A;80000
6679;16OSD-106;42732;LEXUS;NX;Fehlerbehaftete Software des Bremshalteassistenten kann beim Verlassen des Fahrzeugs dazu führen, dass sich das Fahrzeug ungewollt bewegt.;2014;2016;N/A;Fehlerbehaftete Software des Bremshalteassistenten kann beim Verlassen des Fahrzeugs dazu führen, dass sich das Fahrzeug ungewollt bewegt.;N/A;Software-Update am Bremshalteassistenten.;NX200, NX300;N/A;330000;2643
4209;20CC09, 21C035;41452;HYUNDAI;VELOSTER, I30, IX20;Beim Lösen der Feststellbremse kann es vorkommen, dass diese sich nicht vollständig löst.;2010;2012;N/A;Beim Lösen der Feststellbremse kann es vorkommen, dass diese sich nicht vollständig löst.;N/A;Bremssättel hinten instandsetzen, ggf. erneuern.;N/A;N/A;76245;15240
5235;4691032;42114;SMART;FORTWO;Nicht der Spezifikation entsprechende Schrauben am Lenkgetriebe können brechen und zu unsicheren Fahrzuständen führen.;2014;2014;N/A;Nicht der Spezifikation entsprechende Schrauben am Lenkgetriebe können brechen und zu unsicheren Fahrzuständen führen.;N/A;Am Fahrzeug werden die Schrauben des Lenkgetriebes erneuert.;N/A;N/A;39462;8834
5261;0165;42123;HARLEY-DAVIDSON;CVO, TOURING;Mangel an hydraulischer Kupplungsbetätigung führt zum Nicht-Trennen der Kupplung.;2014;2015;N/A;Mangel an hydraulischer Kupplungsbetätigung führt zum Nicht-Trennen der Kupplung.;;;N/A;N/A;54601;1500
5632;0000347900;42339;BMW MOTORRAD;C650GT, C600 SPORT;unzureichender Scheuerschutz führt zur Leckage am vorderen Bremsschlauch, in der Folge kann sich die Bremsleistung reduzieren.;2011;2015;N/A;unzureichender Scheuerschutz führt zur Leckage am vorderen Bremsschlauch, in der Folge kann sich die Bremsleistung reduzieren.;N/A;Bei den betroffenen Fahrzeugen wird der Bremsschlauch erneuert.;N/A;N/A;26361;2192
5686;0012170400;42383;BMW;I8, I3;Durch eine mangelhafte Antriebselektronik kann ein erhöhtes Rekuperations-Moment entstehen, welches zu kritischen Fahrsituationen führen kann.;2015;2015;N/A;Durch eine mangelhafte Antriebselektronik kann ein erhöhtes Rekuperations-Moment entstehen, welches zu kritischen Fahrsituationen führen kann.;N/A;Bei den betroffenen Fahrzeugen wird die Antriebselektronik korrekt kalibriert.;N/A;N/A;77;8
5691;P41;42340;JEEP;COMMANDER, GRAND CHEROKEE;Fehler im Zündschloss führt zum Ausfall von elektrischen Komponenten, des Motors und der Frontairbags.;2005;2007;N/A;Fehler im Zündschloss führt zum Ausfall von elektrischen Komponenten, des Motors und der Frontairbags.;N/A;Das mechanische Zündschloss wird bei den betroffenen Fahrzeugen ersetzt.;N/A;N/A;109175;9686
4300;P2533;41500;NISSAN;X-TRAIL, QASHQAI;Softwarefehler aktiviert Notlaufprogramm und führt somit zu verringerter Leistung.;2006;2012;N/A;Softwarefehler aktiviert Notlaufprogramm und führt somit zu verringerter Leistung.;N/A;Die Getriebesoftware wird umprogrammiert.;N/A;N/A;204631;11431
4497;MYZ;41705;CITROEN;JUMPY;Stärke der vorderen Bremsscheiben ist zu gering.;2013;2013;N/A;Stärke der vorderen Bremsscheiben ist zu gering.;N/A;Überprüfung der Referenzmerkmale beider vorderen Bremsscheiben und deren Austausch bei Bedarf.;N/A;N/A;467;8
4340;3KB2-024;41549;LEXUS;GS;Fehler in der Verstelleinheit der Einlassnockenwelle kann zu Motorausfall führen.;2009;2011;N/A;Fehler in der Verstelleinheit der Einlassnockenwelle kann zu Motorausfall führen.;N/A;Die verbauten Nockenwellenverstell-Einheiten werden gegen eine verbesserte Version ersetzt.;GS350;N/A;169304;8
4430;3G4, 3GD;41590;HONDA MOTORRAD;FOREMAN 4X4;Montagefehler kann zum Brechen der Lenkwelle führen.;2012;2013;N/A;Montagefehler kann zum Brechen der Lenkwelle führen.;N/A;Die Lenkwelle überprüfen, ggf. austauschen.;N/A;N/A;29700;24
5420;3H3;42236;HONDA MOTORRAD;CBR500R, CB500F;Mögliches Lösen des Schwimmerarms im Kraftstofftank kann eine fehlerhafte Kraftstoffanzeige erzeugen und möglicherweise zum Motorausfall führen.;2013;2015;N/A;Mögliches Lösen des Schwimmerarms im Kraftstofftank kann eine fehlerhafte Kraftstoffanzeige erzeugen und möglicherweise zum Motorausfall führen.;;;N/A;N/A;53605;7268
5566;15OSD-041;42368;TOYOTA;PROACE;Überhitzung der Kraftstofffilterheizung kann zur Leckage und Motorausfall führen.;2013;2014;N/A;Überhitzung der Kraftstofffilterheizung kann zur Leckage und Motorausfall führen.;N/A;Bei den betroffenen Fahrzeugen wird die Abdeckung der Kraftstofffilterheizung ausgetauscht. Zusätzlich wird eine elektrische Steckverbindung geprüft und ggf. erneuert.;N/A;N/A;8662;984
5783;HFC;42408;PEUGEOT;BOXER;Fehler im Zündschloss führt zum Ausfall verschiedener elektrischer Systeme.;2014;2015;N/A;Fehler im Zündschloss führt zum Ausfall verschiedener elektrischer Systeme.;N/A;Austausch des Anlassschalters.;N/A;N/A;37750;891
