Type of alert;Type;Alert number;Alert submitted by;Country of origin;Counterfeit;Risk type;Risk legal provision;Product;Name;Description;Brand;Category;Type / number of model;OECD Portal category;Risk;Compulsory measures;Voluntary measures;Products were found and measures were taken also in;Company recall page;Barcode;Batch number;Company recall code (**);Production dates (**);Packaging description
Serious risk;Consumer;A12/00002/20;United Kingdom;Germany;No;Injuries; ;Passenger car;Focus;Passenger car under Ford recall code : 19S50.;Ford;Motor vehicles;Type-approval number: e13*2007/46*1911*04;77000000 - Automotive;The engine wiring loom may be damaged by a stud on the transmission housing. This could lead to reduced engine power or engine stall, increasing the risk of an accident.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 13/12/2019";Denmark, Estonia, Finland, Greece, Poland, Sweden, Slovenia;;;;19S50;The affected vehicles were manufactured between 21 March 2018 and 07 March 2019.;
Serious risk;Consumer;A12/00022/20;United Kingdom;United States;No;Fire;Directive 2001/95/EC on general product safety.;All-terrain vehicle;Ranger XP 1000;All-terrain vehicle under Polaris recall code: R-19-05.;Polaris;Motor vehicles;Ranger XP 1000;77000000 - Automotive;"The drive belt may break or fail during operation, causing damage to an incorrectly routed fuel line. 
This may result in a fuel leak, increasing the risk of fire.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 20/12/2019";Denmark, Sweden;;;;R-19-05;The affected vehicles were manufactured between 9 August and 4 December 2019.;
Serious risk;Consumer;A12/00072/20;Germany;Republic of Korea;No;Injuries; ;Vehicle part;Axial joint;Axial joint.;Lemförder;Motor vehicles; KTYPNR: 19547,19548,19549,19550,19551,30408,30854,30856,30857,30857,32072,32073,32074,32076,779,816,9086;77000000 - Automotive;The axial joints concerned may break as a result of a deviation from the specifications. This can impair the vehicle’s steerability, increasing the risk of an accident.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Withdrawal of the product from the market
Date of entry into force: Unknown";Croatia;;;;;The affected units were manufactured between 1 January 2018 and 31 October 2019.;
Serious risk;Consumer;A12/00071/20;Germany;Germany;No;Injuries; ;Bicycle carrier;AGITO Van;Bicycle carrier under Sawiko recall code: R-VHT18.;Sawiko;Motor vehicles;Type-approval number: E13*26R03/03*8547*00 , Type: VHT18;77000000 - Automotive;The hinge bearing on the bicycle carrier may fail. This could lead to the bicycle carrier and the goods being transported to separate from the vehicle, posing a risk to the following traffic.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";;;;;R-VHT18;The affected units were manufactured between May 2018 and October 2019.;
Serious risk;Professional;A12/00028/20;Germany;Greece;No;Injuries; ;Lorry;S410, S450, S500, S520, S580, S730  and others;Lorry;Scania;Motor vehicles;Types: N323, N324, N333, N334, N322, N330, N331, N332, N340, N341, e4*2007/46*0040*15, e4*2007/46*0045*12 , e4*2007/46*1128*00-*03, e4*2007/46*1129*00-03, e4*2007/46*1130*00-*03, e4*2007/46*1131*00-*03, e4*2007/46*0030*19, e4*2007/46*0031*19, e4*2007/46*0032*16, e4*2007/46*0038*19, e4*2007/46*0039*19;77000000 - Automotive;In some cases, the electronic parking brake may accidentally disengage, allowing the vehicle to roll away. ;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Estonia, Finland, France, Croatia, Sweden, Slovenia;;;;RC191624;2016 to 2019;
Serious risk;Consumer;A12/00056/20;Germany;Republic of Korea;No;Injuries; ;Passenger car;Optima;Passenger car under KIA recall code: 191112.;Kia;Motor vehicles;Type-approval number: e4*2007/46*1018, Type: JF;77000000 - Automotive;"The non-return valve in the vacuum pump may not function properly.  
This may lead to failure of braking power assistance thus increasing the risk of an accident.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Estonia, Finland, Poland;;;;191112;The affected vehicles were manufactured between 24 July and 14 December 2015.;
Serious risk;Consumer;A12/00055/20;Germany;Italy;No;Injuries; ;Passenger van / Light commercial vehicle;Ducato ;Passenger car under Fiat recall code: 6263.;Fiat;Motor vehicles;Type-approval number: e3*2007/46*0044*29, Type: 250;77000000 - Automotive;"The cabling may come into contact with the exhaust pipe.
This may cause the ABS and the rear lights to fail, increasing the risk of an accident.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark, Estonia, Spain, Croatia, Hungary, Iceland, Luxembourg, Poland, Portugal, Sweden, Slovenia;;;;6263;The affected vehicles were manufactured 10 June and 30 October 2019.;
Serious risk;Consumer;A12/00152/20;Germany;Italy;No;Injuries; ;Passenger car;Panda;Passenger car under Fiat recall code: 6266.;Fiat;Motor vehicles;Type-approval number: e3*2007/46*0064*52, Type: 312;77000000 - Automotive;"The Fiat logo on the steering wheel cover is not sufficiently attached.
As a result, in the event of an accident resulting in the release of the airbag, the logo can be projected at high speed, causing injuries to the occupants. ";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Poland;;;;6266;The affected vehicles were manufactured between 16 January and 11 May 2019.;
Other types of alerts;Consumer;INFO/00016/20;Denmark;People's Republic of China;No;Not type approved and therefore not legal; ;Electric three wheel cargo car;;An electrical three-wheel cargo car with cab and open cargo space.;Carper;Motor vehicles;Eltung V25, Timor F25;77000000 - Automotive;The vehicle is not type-approved. Therefore, safety of the user cannot be guaranteed.;"Type of economic operator to whom the measure(s) were ordered: Importer
Category of measure(s): Withdrawal of the product from the market
Date of entry into force: 18/06/2019";;;;;;;;
Serious risk;Consumer;A12/00067/20;Germany;Italy;No;Fire, Injuries; ;Passenger van / Light commercial vehicle;Ducato III;Lorry;Fiat;Motor vehicles;Model: 250, Type-approval number: e3*2007/46*0049*24;77000000 - Automotive;The incorrectly installed positive cable of the generator may come into contact with the drive shaft. This may lead to a short-circuit and, in some cases, to a fire in the vehicle. ;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark, Luxembourg, Sweden, Slovenia;;;;6268;26.9.2018 to 14.11.2019;
Serious risk;Professional;A12/00065/20;Germany;France;No;Injuries; ;Tractor/Agricultural tractor;Claas;Tractor/Agricultural tractor;Arion, Axion;Motor vehicles; e1*167/2013*00096*03, e13*167/2013*00070*03 and individual approvals, A44, A74, A09, A23;77000000 - Automotive;Defective brake valve may lead to impaired braking performance. ;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark, Estonia, Croatia, Poland, Sweden, Slovakia;;;;SI14467;22.7.2019 to 27.11.2019;
Serious risk;Consumer;A12/00085/20;Germany;Italy;No;Injuries; ;Motorcycle;Multistrada 1260;Motorcycle under Ducati recall code: CR184.;Ducati;Motor vehicles;Type-approval number: e3*168/2013*00010, Type: AC;77000000 - Automotive;The sidestand may break due to defective welding. As a result, the motorcycle can inadvertently fall, increasing the risk of injuries.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Estonia, Greece, Croatia, Ireland, Poland, Sweden, Slovenia;;;;CR184;The affected vehicles were manufactured in 2018.;
Serious risk;Consumer;A12/00087/20;Germany;Japan;No;Injuries; ;Passenger car;Corolla, Matrix, Voltz ;Passenger car under Toyota recall code: 19SMD-085.;Toyota;Motor vehicles;Type-approval number: individual approval;77000000 - Automotive;"The gas generator of the passenger airbag may be defective.
This may result in uncontrolled inflation, causing injuries to the occupants.
 ";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";;;;;19SMD-085;The affected vehicles were manufactured between January 2002 and January 2008.;
Serious risk;Consumer;A12/00127/20;Germany;France;No;Injuries; ;Passenger car;C3, C4;Passenger car under Citroen recall code: GYW.;CITROEN;Motor vehicles;Type-approval numbers: e2*2007/46*0003*52-*54,*56, Type: S;77000000 - Automotive;"The ballast in the rear part of the vehicle could be absent.

This can impair the vehicle's directional stability, increasing the risk of an accident.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";;;;;GYW;The affected vehicles were manufactured between 12 July 2018 and 22 July 2019.;
Serious risk;Consumer;A12/00128/20;Portugal;Spain;No;Injuries; ;Passenger car;Captur;Passenger cars manufactured in Valladolid under Renault  recall code: 0D61.;Renault;Motor vehicles;Model series: X87, Type-approval numbers: e2*2001/116*0327*87, e2*2001/116*0327*88;77000000 - Automotive;"The retractor of the front-left seatbelt can be displaced from its housing due to a lack of fixing screws.
This can impair the seatbelt's protective function, increasing the risk of injuries in the event of an accident.";;"Type of economic operator taking notified measure(s): Distributor
Category of measure(s): Recall of the product from end users
Date of entry into force: 14/01/2020";Denmark, France, Ireland, The Netherlands, Poland, Sweden;;;;0D61;The affected vehicles were manufactured between 13 November and 20 December 2018.;
Serious risk;Consumer;A12/00137/20;Germany;Germany;No;Fire; ;Passenger car;Insignia ;Passenger car under Opel recall code: E19-190511.;Opel;Motor vehicles;Type-approval numbers: e8*2007/46*0264*00 - *08, Type: Z-B;77000000 - Automotive;The fuel hose may be damaged by contact with a support bracket. As a result, fuel may leak, increasing the risk of fire. ;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Estonia, Finland, Croatia, Ireland, Luxembourg, Portugal, Sweden, Slovenia, Slovakia;;;;E19-190511;The affected vehicles were manufactured between July 2016 and November 2018.;
Serious risk;Consumer;A12/00153/20;Germany;Germany;No;Injuries; ;Pickup truck;Amarok;Pickup trucks outfitted with a hardtop under VW recall code: 61B9.;VW;Motor vehicles;Type-approval number: e1*2007/46*0356* , Type: 2H;77000000 - Automotive;"The glue that holds the glass side-windows on the hardtop has insufficient adhesion due to a manufacturing error. 

As a result, the windows may become detached from the vehicle, posing a risk to the following traffic.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark, Finland, France, Poland, Slovakia;;;;61B9;The affected vehicles were manufactured between 1 March 2019 and 6 September 2019.;
Serious risk;Professional;A12/00135/20;Germany;Germany;No;Injuries; ;Bus;Setra S 419 UL;Bus;Evobus;Motor vehicles;Type-approval number: e1*2007/46*0018, Model: 633 05;77000000 - Automotive;The height of the emergency exit under UN ECE Regulation 107.06 is not respected due to the combination of the seat mounting and the seat back.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";;;;;91.21U19070A;January 2018 to August 2019;
Serious risk;Consumer;A12/00138/20;Germany;United States;No;Injuries; ;Pickup truck;Gladiator;Pickup truck under Jeep recall code: V95;Jeep;Motor vehicles;Type-approval number: Individual approval;77000000 - Automotive;The drive shaft (cardan shaft) may become damaged and break due to insufficient lubrication. This can lead to a sudden loss of driving power, increasing the risk of an accident. Furthermore, parts could fall onto the road, posing a risk to the following traffic.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";;;;;V95;The affected vehicles were manufactured between 15 December 2018 and 10 September 2019.;
Serious risk;Consumer;A12/00130/20;Portugal;France;No;Injuries; ;Light Commercial Vehicle;NV250;Light Commercial Vehicles manufactured in Maubeuge under Nissan recall code PN0C0.;Nissan;Motor vehicles;e2*2007/46*0006;77000000 - Automotive;"The Rear Brake Caliper assembly fixings may have been insufficiently tightened. 
As a result, the rear wheels may detach, increasing the risk of an accident.";;"Type of economic operator taking notified measure(s): Distributor
Category of measure(s): Recall of the product from end users
Date of entry into force: 30/01/2020";France;;;;PN0C0;04/09/2019 to 11/10/2019;
